time,open,high,low,close
2007-12-24,2751.76001,2768.03003,2747.84985,2766.97998
2007-12-26,2755.03003,2777.42993,2742.07983,2772.35986
2007-12-27,2758.41992,2758.41992,2683.31982,2683.31982
2007-12-28,2704.07007,2715.45996,2658.84985,2660.06982
2007-12-31,2654.22998,2681.3501,2633.53979,2663.03979
2008-01-02,2660.12012,2664.33008,2595.82983,2607.09985
2008-01-03,2617.22998,2629.37012,2580.05981,2580.05981
2008-01-04,2561.02002,2561.02002,2503.35986,2508.57983
2008-01-07,2524.63989,2572.18994,2501.06982,2538.07983
2008-01-08,2547.09009,2562.19995,2456.65991,2456.65991
2008-01-09,2457.02002,2478.6499,2398.58984,2478.6499
2008-01-10,2456.58008,2543.46997,2432.46997,2513.97998
2008-01-11,2493.72998,2530.46997,2475.16992,2484.67993
2008-01-14,2498.40991,2502.02002,2461.18994,2480.08984
2008-01-15,2447.13989,2449.18994,2406.61987,2426.92993
2008-01-16,2419.61011,2511.92993,2419.60986,2476.96997
2008-01-17,2480.93994,2482.15991,2405.75,2405.75
2008-01-18,2416.88989,2435.1499,2346.03979,2371.37988
2008-01-22,2303.41992,2465.38989,2298.16992,2419.90991
2008-01-23,2356.29004,2587.31006,2351.62988,2576.75977
2008-01-24,2577.12012,2602.57007,2552.31982,2583.66992
2008-01-25,2602.57007,2618.77002,2544.6499,2550.33984
2008-01-28,2544.63989,2623.77002,2523.25,2623.76978
2008-01-29,2635.19995,2654.62988,2591.36987,2653.77979
2008-01-30,2642.01001,2709.31006,2634.88989,2643.55981
2008-01-31,2604.8501,2746.20996,2591.45996,2734.55981
2008-02-01,2736.83008,2782.45996,2732.60986,2780.21997
2008-02-04,2777.18994,2777.18994,2716.27979,2717.55981
2008-02-05,2677.76001,2705.93994,2650.52979,2650.52979
2008-02-06,2672.97998,2697,2634.08984,2646.75977
2008-02-07,2636.12988,2708.61011,2634.94995,2686.21997
2008-02-08,2672.52002,2691.13989,2616.40991,2652.30981
2008-02-11,2648.75,2648.75,2614.7998,2622.38989
2008-02-12,2643.09009,2677.8999,2628.98999,2654.10986
2008-02-13,2674.94995,2680.8999,2630.85986,2677.38989
2008-02-14,2679.30005,2679.30005,2620.75,2625.87988
2008-02-15,2619.3501,2627.33008,2596.00977,2624.8999
2008-02-19,2650.48999,2654.47998,2584.43994,2591.7998
2008-02-20,2576.42993,2638.92993,2575,2634.50977
2008-02-21,2642.46997,2655.32007,2584.78979,2588.01978
2008-02-22,2590.06006,2599.06006,2536.53979,2597.96997
2008-02-25,2597.42993,2633.8501,2564.41992,2629.63989
2008-02-26,2617.13989,2664.87012,2616.75977,2641.81982
2008-02-27,2625.77002,2664.90991,2615.46997,2632.58984
2008-02-28,2619.36011,2619.36011,2570.66992,2577.26978
2008-02-29,2552.41992,2555.42993,2491.96997,2498.76978
2008-03-03,2502.71997,2504.16992,2467.27979,2482.09985
2008-03-04,2463.56006,2483.52002,2420.3999,2472.21997
2008-03-05,2478.57007,2498.73999,2439.59985,2447.1499
2008-03-06,2432.45996,2438.07007,2386.76978,2386.88989
2008-03-07,2364.17993,2443.38989,2364.03979,2410.73999
2008-03-10,2418.30005,2437.34009,2382.71997,2393.30981
2008-03-11,2449.37988,2550.29004,2449.37988,2550.28979
2008-03-12,2547.91992,2601.31006,2504.46997,2504.46997
2008-03-13,2476.13989,2552.18994,2442.90991,2540.81982
2008-03-14,2547.57007,2558.02002,2465.67993,2482.38989
2008-03-17,2429.8501,2493.83008,2410.70996,2465.78979
2008-03-18,2511.56006,2571.41992,2487.11987,2571.41992
2008-03-19,2579.3501,2599.33008,2521.10986,2521.10986
2008-03-20,2545.26001,2634.06006,2526.37988,2634.05981
2008-03-24,2633.1001,2693.6001,2631.31982,2649.76978
2008-03-25,2645.78003,2670.8999,2614.76978,2661.88989
2008-03-26,2639.65991,2639.78003,2601.82983,2615.08984
2008-03-27,2620.45996,2621.68994,2563.71997,2573.1499
2008-03-28,2583.45996,2584.5,2528.81982,2531.13989
2008-03-31,2540.16992,2587.40991,2528.83984,2548.78979
2008-04-01,2586.6499,2651.98999,2586,2651.98999
2008-04-02,2651.09009,2678.88989,2626.6499,2649.26978
2008-04-03,2632.37988,2644.46997,2607.77979,2631.22998
2008-04-04,2631.69995,2631.69995,2588.19995,2591.37988
2008-04-07,2610.33008,2623.29004,2585.10986,2596.22998
2008-04-08,2587.93994,2587.93994,2549.44995,2561.38989
2008-04-09,2569.82007,2572.01001,2507.98999,2508.98999
2008-04-10,2507.08008,2533.67993,2481.66992,2509.36987
2008-04-11,2485.86011,2515.5,2469.26978,2469.86987
2008-04-14,2464.87012,2468.80005,2402.19995,2403.85986
2008-04-15,2426.55005,2451.32007,2413.53979,2451.31982
2008-04-16,2476.47998,2541.53003,2476.47998,2541.52979
2008-04-17,2530.12988,2556.6001,2505.0498,2550.03979
2008-04-18,2595.32007,2611.46997,2571.94995,2578.13989
2008-04-21,2565.25,2565.25,2523.03979,2523.03979
2008-04-22,2516.8501,2525.32007,2494.71997,2515.51978
2008-04-23,2521.79004,2522.3999,2476.67993,2489.3999
2008-04-24,2501.62988,2572.41992,2491.12988,2563.00977
2008-04-25,2568.02002,2588.71997,2533.66992,2583.88989
2008-04-28,2573.95996,2606.8501,2563.1499,2594.37988
2008-04-29,2594.51001,2594.51001,2573.75,2579.02979
2008-04-30,2587.12012,2596.3999,2553.93994,2556.5498
2008-05-01,2555.97998,2644.62988,2555.75977,2638.47998
2008-05-02,2658.78003,2673.09009,2607.08984,2611.87988
2008-05-05,2610.20996,2618.04004,2586.08984,2596.26978
2008-05-06,2584.42993,2616.62012,2561.09985,2610.11987
2008-05-07,2611.25,2612.01001,2533.10986,2534.88989
2008-05-08,2544.19995,2544.37988,2509.44995,2517.55981
2008-05-09,2500.06006,2535.3999,2499.11987,2506.70996
2008-05-12,2517.6499,2565.41992,2517.6499,2562.28979
2008-05-13,2568.22998,2568.22998,2540.25,2553.35986
2008-05-14,2560.41992,2571.3999,2549.48999,2552.33984
2008-05-15,2548.90991,2566.40991,2528.60986,2566.01978
2008-05-16,2565.11011,2565.11011,2511.67993,2527.71997
2008-05-19,2527.76001,2541.17993,2509.63989,2511.18994
2008-05-20,2499.61011,2500.70996,2481.27979,2488.18994
2008-05-21,2494,2508.32007,2462.6499,2469.27979
2008-05-22,2472.38989,2512.03003,2470.1499,2503.76978
2008-05-23,2492.8501,2494.02002,2471.16992,2477.18994
2008-05-27,2483.46997,2508.61011,2474.12988,2502.19995
2008-05-28,2510.80005,2510.93994,2454.47998,2477.22998
2008-05-29,2472.70996,2518.59009,2472.70996,2505.98999
2008-05-30,2504.66992,2504.66992,2474.01978,2486.28979
2008-06-02,2480.96997,2483.07007,2427.5498,2448.55981
2008-06-03,2456.87988,2457.80005,2409.26978,2428.65991
2008-06-04,2420.43994,2448.33008,2411.75977,2423.22998
2008-06-05,2431.13989,2459.40991,2427.71997,2457.72998
2008-06-06,2440.15991,2440.15991,2374.09985,2374.09985
2008-06-09,2382.92993,2384.62988,2321.38989,2336.09985
2008-06-10,2321.05005,2372.86011,2321.0498,2346.83984
2008-06-11,2342.8501,2344.17993,2279.70996,2279.70996
2008-06-12,2300.63989,2339.8999,2275.83984,2288.01978
2008-06-13,2294.91992,2299.5,2230.83984,2269.16992
2008-06-16,2256.97998,2310.26001,2249.58984,2304.16992
2008-06-17,2311.79004,2316.52002,2247.33984,2247.33984
2008-06-18,2220.15991,2221.41992,2185.10986,2185.27979
2008-06-19,2188.1001,2198.07007,2151.90991,2198.06982
2008-06-20,2184.42993,2235.06006,2175.70996,2197.03979
2008-06-23,2211.44995,2211.44995,2134.8999,2135.21997
2008-06-24,2127.02002,2162.18994,2108.45996,2136.25977
2008-06-25,2147.78003,2214.47998,2147.77979,2158.84985
2008-06-26,2134.66992,2149.42993,2124.5498,2126.61987
2008-06-27,2126.03003,2148.83008,2091.06982,2103.31982
2008-06-30,2102.17993,2102.48999,2050.96997,2050.96997
2008-07-01,2040.62012,2076.76001,2018.32983,2075.97998
2008-07-02,2089,2114.28003,2031.77979,2031.86987
2008-07-03,2037.19995,2047.1001,1991.83984,1992.94995
2008-07-07,2011.77002,2014.97998,1915.02979,1940.26978
2008-07-08,1949.15991,2060.59009,1938.37988,2060.58984
2008-07-09,2063.32007,2068.23999,1982.55981,1982.55981
2008-07-10,1984.79004,2032.16992,1965.28979,2006.80981
2008-07-11,1982.92993,2036.11011,1960.96997,2019.26978
2008-07-14,2036.40991,2045.25,1900.90991,1900.90991
2008-07-15,1882.55005,1938.59009,1814.63989,1863.5498
2008-07-16,1892.71997,2048.95996,1892.71997,2048.95996
2008-07-17,2070.31006,2172.30005,2045.10986,2172.2998
2008-07-18,2167.86011,2168.25,2119.73999,2163.15991
2008-07-21,2175.22998,2193.67993,2147.75,2148.47998
2008-07-22,2137.28003,2253.08008,2088.58984,2253.07983
2008-07-23,2244.04004,2308.47998,2228.13989,2269.59985
2008-07-24,2271.68994,2271.94995,2165.66992,2174.43994
2008-07-25,2191.61011,2222.08008,2166.33984,2197.00977
2008-07-28,2187.09009,2207.02002,2120.27979,2129.10986
2008-07-29,2138.42993,2248.45996,2138.42993,2248.45996
2008-07-30,2259.59009,2286.23999,2226.6499,2258.87988
2008-07-31,2234.84009,2275.90991,2225.26978,2248.75
2008-08-01,2254.63989,2282.34009,2221.68994,2276.66992
2008-08-04,2269.8999,2282.78003,2222.78979,2259.84985
2008-08-05,2282.28003,2333.19995,2276.33984,2333.19995
2008-08-06,2320.83008,2345.87012,2290.23999,2338.97998
2008-08-07,2313.26001,2341.36011,2262.83984,2274.30981
2008-08-08,2278.42993,2355.29004,2273.7998,2348.58984
2008-08-11,2344.27002,2440.91992,2333.45996,2431.47998
2008-08-12,2409.52002,2414.42993,2357.5498,2373.48999
2008-08-13,2364.65991,2364.65991,2297.56982,2325.22998
2008-08-14,2310.75,2367.21997,2310.75,2364.18994
2008-08-15,2391.69995,2421.11011,2359.25,2382.69995
2008-08-18,2381.12988,2381.12988,2310.47998,2318.16992
2008-08-19,2300.88989,2302.34009,2263.85986,2275.93994
2008-08-20,2279.52002,2290.28003,2234.94995,2273.57983
2008-08-21,2248.67993,2262.63989,2240.06982,2248.1499
2008-08-22,2268.1499,2299.63989,2252.11987,2299.63989
2008-08-25,2287.12012,2287.12012,2233.75977,2233.75977
2008-08-26,2232.42993,2258.70996,2218.3999,2250.83984
2008-08-27,2247.17993,2296.1001,2246.18994,2281.55981
2008-08-28,2294.1499,2339.19995,2280.63989,2339.19995
2008-08-29,2320.3999,2347.91992,2313.19995,2333.48999
2008-09-02,2376.42993,2389.43994,2339.13989,2370.07983
2008-09-03,2367.88989,2414.47998,2348.28979,2414.3999
2008-09-04,2386.78003,2396.76001,2333.26978,2333.26978
2008-09-05,2318.30005,2403.01001,2302.84985,2398.67993
2008-09-08,2470.88989,2513.18994,2425.59985,2488.96997
2008-09-09,2472.62012,2499.75,2422.75,2422.75
2008-09-10,2443.07007,2452.68994,2364.5498,2422.17993
2008-09-11,2376.18994,2450.33008,2359.68994,2448.80981
2008-09-12,2427.59009,2491.3999,2421.27979,2485.82983
2008-09-15,2413.01001,2489.11011,2400.18994,2400.18994
2008-09-16,2369.40991,2505.12988,2364.26978,2505.12988
2008-09-17,2453.80005,2475.42993,2353.07983,2370.55981
2008-09-18,2417.37012,2657.30005,2297.91992,2657.2998
2008-09-19,2957.06006,3051.26001,2647.70996,2801.80981
2008-09-22,2706.58008,2707.53003,2563.59985,2564.37988
2008-09-23,2573.92993,2589.18994,2518.25977,2518.25977
2008-09-24,2544.30005,2558.81006,2494.75,2515.88989
2008-09-25,2540.3501,2566.30005,2520.57983,2528.62988
2008-09-26,2493.3501,2560.04004,2450.68994,2550.58984
2008-09-29,2523.28003,2526.55005,2284.47998,2284.47998
2008-09-30,2377.88989,2461.30005,2338.34985,2425.77979
2008-10-01,2418.67993,2510.52002,2409.42993,2505.75
2008-10-02,2499.12012,2502.17993,2434.42993,2434.42993
2008-10-03,2489.95996,2542.07007,2405.40991,2405.40991
2008-10-06,2356.28003,2362.59009,2239.16992,2331.16992
2008-10-07,2334.41992,2347.04004,2185.40991,2185.40991
2008-10-08,2143.13989,2249.91992,2126.1499,2148.91992
2008-10-09,2170.83008,2182.73999,1922.65991,1922.69995
2008-10-10,1875.26001,2076.45996,1857.40991,2076.45996
2008-10-13,2180.54004,2203.44995,2091.87988,2203.44995
2008-10-14,2280.82007,2329.1001,2193.51978,2268.38989
2008-10-15,2211.21997,2256.26001,2147.71997,2147.71997
2008-10-16,2176.87988,2274.51001,2081.93994,2273.73999
2008-10-17,2186.12988,2295.08008,2186.12988,2211.44995
2008-10-20,2229.3999,2256.04004,2192.46997,2255.72998
2008-10-21,2209.48999,2249.58008,2186.77979,2199.81982
2008-10-22,2156.11011,2177.26001,2081.68994,2091.46997
2008-10-23,2104.8999,2120.11011,1977.53979,2049.00977
2008-10-24,1947.34009,2036.25,1941.69995,1982.19995
2008-10-27,1974.77002,2045.5,1961.53979,1961.53979
2008-10-28,2021,2138.06006,1944.44995,2138.05981
2008-10-29,2133.02002,2185.38989,2100.53979,2130.25977
