time,open,high,low,close
2019-02-01,166.51,167.12,163.3,165.4
2019-02-04,165.4,166.49,163.94,166.48
2019-02-05,166.48,167.53,165.53,167.49
2019-02-06,167.49,167.49,165.7,166.21
2019-02-07,166.21,167.69,165.31,167.54
2019-02-08,167.54,168.11,166.71,167.7
2019-02-11,167.7,168.32,167.44,168.07
2019-02-12,168.07,168.25,166.35,166.9
2019-02-13,166.9,168.01,166.19,167.87
2019-02-14,167.87,169.15,167.58,168.62
2019-02-15,168.62,169.55,168.51,169.48
2019-02-19,169.48,170.04,169.07,169.66
2019-02-20,169.66,169.66,167.41,168.54
2019-02-21,168.54,168.89,166.96,168.77
2019-02-22,168.77,170.45,168.53,169.78
2019-02-25,169.78,170.27,168.18,168.4
2019-02-26,168.4,169,167.68,168.03
2019-02-27,168.03,168.23,166.08,167.38
2019-02-28,167.38,169.85,166.88,167.89
2019-03-01,167.89,168.15,165.72,167.68
2019-03-04,167.68,168.48,166.4,168.37
2019-03-05,168.37,169.45,168.09,168.8
2019-03-06,168.8,169.48,168.13,168.37
2019-03-07,168.37,169.73,167.71,168.24
2019-03-08,168.24,169.08,167.59,168.44
2019-03-11,168.44,171.1,168.44,171.03
2019-03-12,171.03,172.23,171.03,171.83
2019-03-13,171.83,173.18,171.83,172.69
2019-03-14,172.69,172.77,171.83,172.76
2019-03-15,172.76,172.98,171.78,172.11
2019-03-18,172.11,172.6,170.41,171.23
2019-03-19,171.23,171.6,170.18,170.73
2019-03-20,170.73,172.37,169.6,171.46
2019-03-21,171.46,174.57,171.12,174.52
2019-03-22,174.59,176.11,173.68,173.69
2019-03-25,173.69,174.47,173.01,173.79
2019-03-26,173.79,174.97,173.79,174.96
2019-03-27,174.96,175.36,173.29,174.35
2019-03-28,174.35,175.61,173.93,175.6
2019-03-29,175.6,175.88,174.73,175.41
2019-04-01,175.41,175.68,173.24,174.92
2019-04-02,174.92,176.71,173.85,176.42
2019-04-03,176.42,176.96,174.92,176.23
2019-04-04,176.46,176.46,174.93,175.72
2019-04-05,175.72,177.18,175.45,177.06
2019-04-08,177.06,177.15,175.62,176.17
2019-04-09,176.17,176.3,175.37,175.61
2019-04-10,175.61,176.9,175.61,176.89
2019-04-11,176.89,177.6,175.95,176.64
2019-04-12,176.64,177.59,175.19,177.59
2019-04-15,177.59,177.65,176.01,176.53
2019-04-16,176.53,176.62,171.48,172.32
2019-04-17,172.32,173.02,170.05,170.61
2019-04-18,170.42,172.25,169.98,171.89
2019-04-22,171.89,171.89,168.55,170.09
2019-04-23,170.09,172.41,170.09,171.99
2019-04-24,171.99,173.8,171.99,173.32
2019-04-25,173.32,173.57,171.78,173.02
2019-04-26,173.02,174.31,172.85,174.2
2019-04-29,174.2,174.55,172.17,172.35
2019-04-30,172.35,174.58,171.31,174.4
2019-05-01,174.4,176.43,174.14,174.47
2019-05-02,174.47,176.46,174.45,174.73
2019-05-03,174.73,176.12,174.51,175.89
2019-05-06,175.89,175.89,174.02,175.14
2019-05-07,175.14,175.14,170.86,172.02
2019-05-08,172.02,173.69,172.02,172.1
2019-05-09,172.1,172.83,170.6,172.66
2019-05-10,172.66,175.04,172.18,174.62
2019-05-13,174.62,174.83,173.1,174.62
2019-05-14,174.62,175.92,174.62,175.23
2019-05-15,175.23,176.95,174.6,176.36
2019-05-16,176.36,177.9,176.12,177.29
2019-05-17,177.29,177.29,175.99,176.99
2019-05-20,176.99,176.99,173.47,174.13
2019-05-21,174.13,175.99,174.13,175.59
2019-05-22,175.59,176.45,175.41,176.31
2019-05-23,176.31,177.33,175.52,177.21
2019-05-24,177.21,178.58,177.21,177.48
2019-05-28,177.48,178.57,175.51,175.52
2019-05-29,175.52,175.65,172.89,173.5
2019-05-30,173.5,175.2,173.5,174.62
2019-05-31,174.62,177.06,174.05,175.97
2019-06-03,175.97,176.99,175.26,176.75
2019-06-04,176.75,176.75,174.29,175.76
2019-06-05,175.76,179.9,175.76,179.85
2019-06-06,179.85,180.39,178.93,180.11
2019-06-07,180.11,181.72,180.11,180.59
2019-06-10,180.59,180.94,179.23,180.04
2019-06-11,180.04,180.65,179.07,180.36
2019-06-12,180.36,181.69,180.28,180.83
2019-06-13,180.83,181.16,180.25,180.99
2019-06-14,180.99,182.24,180.99,181.58
2019-06-17,181.58,183.83,181.58,183.62
2019-06-18,183.62,185.28,182.3,183
2019-06-19,183,184.79,181.98,184.24
2019-06-20,184.24,185.85,184.24,185.22
2019-06-21,185.22,185.22,182.36,183.19
2019-06-24,183.19,183.98,182.02,182.35
2019-06-25,182.35,183.14,179.83,179.89
2019-06-26,179.89,179.89,175.75,176.37
2019-06-27,176.37,178.12,176.37,177.66
2019-06-28,177.66,179.03,177.5,178.19
2019-07-01,178.19,178.93,175.68,177.67
2019-07-02,177.67,181.01,177.67,180.91
2019-07-03,180.91,183.61,180.91,183.56
2019-07-05,183.56,183.56,179.82,182.53
2019-07-08,182.53,183.66,182.18,183.21
2019-07-09,183.21,184.41,182.69,184.17
2019-07-10,184.17,185.46,183.82,185.13
2019-07-11,185.13,185.13,182.06,182.88
2019-07-12,182.88,183.03,181.47,182.16
2019-07-15,182.16,183.55,182,182.39
2019-07-16,182.39,182.67,181.61,182.06
2019-07-17,182.06,183,180.22,181.32
2019-07-18,181.32,181.57,179.8,181.06
2019-07-19,181.06,181.5,177.91,178
2019-07-22,178,178.53,177.22,177.92
2019-07-23,177.92,179.72,177.75,179.72
2019-07-24,179.72,180.13,178.95,179.59
2019-07-25,179.59,179.59,178.03,178.72
2019-07-26,178.72,179.75,177.99,179.31
2019-07-29,179.31,181.23,179.31,180.14
2019-07-30,180.14,182.38,180.14,181.74
2019-07-31,181.74,183.4,180.12,181.2
2019-08-01,181.2,183.13,180,181.6
2019-08-02,181.6,183.92,181.31,182.98
2019-08-05,182.98,182.98,177.27,179.41
2019-08-06,179.41,182.36,179.19,181.52
2019-08-07,181.52,184.45,178.92,183.22
2019-08-08,183.22,186.2,182.02,186.09
2019-08-09,186.09,186.8,184.32,186.22
2019-08-12,186.22,186.67,184.88,185.66
2019-08-13,185.72,186.59,184.3,186.06
2019-08-14,186.06,186.06,182.88,183.13
2019-08-15,183.13,185.82,183.13,185.57
2019-08-16,185.57,187.21,185.51,186.74
2019-08-19,186.74,188.79,186.74,188.42
2019-08-20,188.42,188.95,186.89,186.89
2019-08-21,186.89,188.21,186.75,187.83
2019-08-22,187.83,188.86,186.67,188.63
2019-08-23,188.63,189.92,185.56,186.2
2019-08-26,186.2,188.12,186.2,188.1
2019-08-27,188.1,189.35,187.35,187.36
2019-08-28,187.36,188.27,187.19,188
2019-08-29,188,189.63,188,189.37
2019-08-30,189.37,190.11,188.77,189.55
2019-09-03,189.55,192.02,189.11,192.02
2019-09-04,192.02,193.81,192.02,193.65
2019-09-05,193.65,193.65,191.24,191.83
2019-09-06,191.83,193.04,191.64,192.24
2019-09-09,192.24,192.24,190.21,190.57
2019-09-10,190.57,190.57,186.58,187.97
2019-09-11,187.97,187.97,186.46,187.37
2019-09-12,187.37,189.48,186.89,188.42
2019-09-13,188.42,188.69,185.43,186.02
2019-09-16,186.02,187.99,185.82,187.91
2019-09-17,187.91,190.57,187.91,190.54
2019-09-18,190.54,191.18,188.19,189.94
2019-09-19,189.94,191.07,189.77,190.47
2019-09-20,190.47,191.08,189.74,189.84
2019-09-23,189.84,191.18,189.41,190.29
2019-09-24,190.29,191.45,189.31,190.09
2019-09-25,190.09,190.72,189.33,189.94
2019-09-26,189.94,192.09,189.94,191.66
2019-09-27,191.66,191.71,188.71,190.15
2019-09-30,190.15,191.36,190.15,190.45
2019-10-01,190.45,190.53,188.03,188.51
2019-10-02,188.51,188.87,186.42,187.5
2019-10-03,187.5,190.16,187.3,189.71
2019-10-04,189.71,191.05,189.71,190.86
2019-10-07,190.86,191.12,189.41,190.24
2019-10-08,190.24,190.92,188.46,189.33
2019-10-09,189.33,190.72,189.33,189.91
2019-10-10,189.91,190.71,188.91,190.26
2019-10-11,190.26,191.38,189.61,189.71
2019-10-14,189.71,190.04,189.24,189.97
2019-10-15,189.97,190.36,188.61,190.2
2019-10-16,190.2,190.2,188.72,189.97
2019-10-17,189.97,191.75,189.97,191.25
2019-10-18,191.25,193.47,191.25,193.13
2019-10-21,193.13,194.48,192.58,194.48
2019-10-22,194.48,195.07,193.55,193.72
2019-10-23,193.72,194.41,192.48,194.05
2019-10-24,194.05,194.32,192.84,193.52
2019-10-25,193.52,193.52,190.6,190.99
2019-10-28,190.99,190.99,188.65,188.93
2019-10-29,188.93,190.74,188.93,189.66
2019-10-30,189.66,190.84,188.43,190.84
2019-10-31,190.84,191.28,189.56,190.15
2019-11-01,190.15,190.97,187.7,189.61
2019-11-04,189.61,189.61,187.34,187.61
2019-11-05,187.61,187.61,183.21,184.31
2019-11-06,184.31,185.86,184.31,185.06
2019-11-07,185.06,185.06,182.37,183.07
2019-11-08,183.07,183.93,182.23,182.64
2019-11-11,182.64,183.65,182.57,183.05
2019-11-12,183.05,184.13,181.44,181.59
2019-11-13,181.59,183.92,181.59,183.54
2019-11-14,183.54,185.09,183.54,185.08
2019-11-15,185.08,186.16,184.85,186.16
2019-11-18,186.16,187.94,186.16,187.09
2019-11-19,187.09,187.88,186.73,187.44
2019-11-20,187.44,187.91,186.36,187.49
2019-11-21,187.49,187.49,184.82,184.88
2019-11-22,184.88,185.53,183.14,183.89
2019-11-25,183.89,185.41,183.81,183.99
2019-11-26,183.99,186.64,183.99,186.63
2019-11-27,186.63,187.27,185.85,187.23
2019-11-29,187.23,187.9,186.36,186.41
2019-12-02,186.41,186.41,183.14,183.15
2019-12-03,183.15,184.92,183.15,184.51
2019-12-04,184.51,186.02,183.87,185.62
2019-12-05,185.62,185.73,184.51,185.72
2019-12-06,185.72,186.71,185.71,185.91
2019-12-09,185.91,186.59,185.32,186.16
2019-12-10,186.16,186.71,184.32,184.89
2019-12-11,184.89,185.09,182.73,183.5
2019-12-12,183.5,183.77,180.39,180.84
2019-12-13,180.84,181.62,179.49,181.16
2019-12-16,181.16,182.95,180.23,182.54
2019-12-17,182.54,182.96,180.11,180.42
2019-12-18,180.42,183.25,180.42,182.82
2019-12-19,182.82,184.8,182.6,184.77
2019-12-20,184.77,186.6,184.77,185.98
2019-12-23,185.98,186.69,184.67,184.97
2019-12-24,184.97,185.66,184.6,185.29
2019-12-26,185.29,186.3,185.18,186.29
2019-12-27,186.29,187.08,186.14,186.94
2019-12-30,186.94,186.94,185.77,186.7
2019-12-31,186.7,187.9,186.29,187.89
2020-01-02,187.89,188.46,184.83,185.4
2020-01-03,185.4,187.29,184.42,186.9
2020-01-06,186.9,187.66,186.29,187.06
2020-01-07,187.06,187.06,183.9,184.82
2020-01-08,184.82,186.11,184.39,185.6
2020-01-09,185.6,186.16,185.23,185.72
2020-01-10,185.72,187.6,185.72,187.48
2020-01-13,187.48,189.8,187.48,189.8
2020-01-14,189.8,189.8,187.85,188.86
2020-01-15,188.86,190.73,188.86,190.33
2020-01-16,190.33,191.85,190.17,191.83
2020-01-17,191.83,192.81,191.68,192.09
2020-01-21,192.09,194.24,191.82,194.15
2020-01-22,194.15,195.08,192.25,192.62
2020-01-23,192.62,194.5,192.09,194.48
2020-01-24,194.48,195.11,193.38,194.03
2020-01-27,194.03,194.03,192.69,193.22
2020-01-28,193.22,194.46,193.12,193.8
2020-01-29,193.8,194.54,192.52,192.59
2020-01-30,192.59,193.28,191.76,193.1
2020-01-31,193.1,193.1,189.9,190.47
2020-02-03,190.47,192.31,190.42,190.72
2020-02-04,190.72,193.76,190.72,192.99
2020-02-05,192.99,193.65,192.39,192.85
2020-02-06,192.85,194.17,192.85,193.62
2020-02-07,193.62,193.99,193.28,193.72
2020-02-10,193.72,196.1,193.72,196.1
2020-02-11,196.1,199.82,196.1,198.49
2020-02-12,198.49,200.17,197.97,199.82
2020-02-13,199.82,201.16,199.27,200.82
2020-02-14,200.82,203.05,200.82,203.05
2020-02-18,203.05,203.17,201.6,202.73
2020-02-19,202.73,202.82,199.98,199.98
2020-02-20,199.98,202.34,199.65,202.28
2020-02-21,202.28,203.44,201.81,203.05
2020-02-24,203.05,203.05,199.55,200.33
2020-02-25,200.33,201.53,194.65,195.17
2020-02-26,195.17,197.1,193.3,193.46
2020-02-27,193.46,193.46,182.64,182.65
2020-02-28,182.65,182.65,173.04,178.02
2020-03-02,178.02,187.04,178.02,187.02
2020-03-03,187.02,191.49,185.23,186.82
2020-03-04,186.82,194.37,186.82,194.27
2020-03-05,194.27,194.27,187.59,189.69
2020-03-06,189.69,189.69,180.34,186.48
2020-03-09,186.48,186.48,173.12,173.15
2020-03-10,173.15,181.87,171.47,181.79
2020-03-11,181.79,181.79,170.24,171.9
2020-03-12,171.9,171.9,154.17,156.95
2020-03-13,156.95,170.75,156.95,170.5
2020-03-16,170.5,170.5,141.97,142.28
2020-03-17,142.28,155.84,142.09,152.16
2020-03-18,152.16,152.16,137.11,140.81
2020-03-19,140.81,142.57,135.3,138.92
2020-03-20,138.92,142.93,130.2,131.31
2020-03-23,131.31,131.31,121.14,124.01
2020-03-24,129.73,134.95,127.58,134.62
2020-03-25,134.62,147.87,133.8,140.66
2020-03-26,140.66,151.88,140.66,151.65
2020-03-27,151.65,155.11,146.63,151.54
2020-03-30,151.54,156.18,149.15,155.68
2020-03-31,155.68,155.68,147.08,150.61
2020-04-01,150.61,150.61,138.28,141.41
2020-04-02,141.41,145.35,139.33,143.3
2020-04-03,143.3,144.42,139.6,142.22
2020-04-06,142.22,153.04,142.22,152.47
2020-04-07,152.47,159.89,152.47,152.65
2020-04-08,152.65,164.7,152.65,163.95
2020-04-09,163.95,174.42,163.95,172.4
2020-04-13,172.4,172.4,163.47,164.49
2020-04-14,164.49,170.45,164.49,169.84
2020-04-15,169.84,169.84,161.97,163.37
2020-04-16,163.37,164.84,161.37,162.4
2020-04-17,162.4,168.19,162.4,167.63
2020-04-20,167.63,167.63,161.36,161.37
2020-04-21,161.37,161.37,156.97,158.77
2020-04-22,158.77,162.85,158.77,161.8
2020-04-23,161.8,163.01,159.46,159.87
2020-04-24,159.87,161.09,158.63,160.34
2020-04-27,160.34,165.54,160.34,165.14
2020-04-28,165.14,169.83,165.08,165.18
2020-04-29,165.18,168.9,165.18,165.76
2020-04-30,165.76,165.76,161.78,164.66
2020-05-01,164.66,164.66,158.4,159.33
2020-05-04,159.33,159.42,155.68,159.31
2020-05-05,159.31,162.44,159.31,160.3
2020-05-06,160.3,161.46,157.35,157.35
2020-05-07,157.35,160.64,157.35,158.68
2020-05-08,158.68,161.96,158.68,161.65
2020-05-11,161.65,162.11,159.01,159.69
2020-05-12,159.69,160.35,152.9,152.9
2020-05-13,152.9,153.73,149.71,150.44
2020-05-14,150.44,150.6,145.57,150.58
2020-05-15,150.58,150.58,147.21,149.92
2020-05-18,149.92,158.54,149.92,157.31
2020-05-19,157.31,157.31,154.37,154.39
2020-05-20,154.39,156.07,154.39,155.71
2020-05-21,155.71,156.19,153.73,154.87
2020-05-22,154.87,158.34,154.36,158.29
2020-05-26,158.29,164.33,158.29,163.3
2020-05-27,163.3,166.81,162.65,166.81
2020-05-28,166.81,168.94,166.77,168.87
2020-05-29,168.87,168.87,166.19,167.52
2020-06-01,167.52,172.33,167.22,171.05
2020-06-02,171.05,172.8,170.29,172.17
2020-06-03,172.17,177.26,172.17,176.31
2020-06-04,176.31,176.31,171.62,173.13
2020-06-05,173.13,180.51,173.13,179.36
2020-06-08,179.36,183.24,179.36,183.22
2020-06-09,183.22,183.22,178.99,181.17
2020-06-10,181.17,181.17,176.7,177.71
2020-06-11,177.71,177.71,166.59,166.59
2020-06-12,166.59,172.47,166.59,171.85
2020-06-15,171.85,174.4,166.95,173.6
2020-06-16,173.6,179.51,173.6,176.64
2020-06-17,176.64,177.82,174.63,174.63
2020-06-18,174.63,174.63,171.56,172.3
2020-06-19,172.3,174.42,169.25,170.52
2020-06-22,170.52,170.56,167.88,170.09
2020-06-23,170.09,171.89,169.19,169.49
2020-06-24,169.49,169.49,161.7,164.99
2020-06-25,164.99,166.81,163.83,166.77
2020-06-26,166.77,167.15,163.73,163.75
2020-06-29,163.75,166.53,163.27,166.53
2020-06-30,166.53,169.76,166.53,169.18
2020-07-01,169.18,174.13,169.18,173.53
2020-07-02,173.53,176.19,172.39,172.95
2020-07-06,172.95,176.36,172.93,173.25
2020-07-07,173.25,173.25,170.39,170.47
2020-07-08,170.47,171.45,168.9,170.19
2020-07-09,170.19,170.29,166.93,169.63
2020-07-10,169.63,170.61,168.94,169.9
2020-07-13,169.9,170.73,166.96,167.13
2020-07-14,167.13,169.24,166.94,168.76
2020-07-15,168.76,171.49,168.61,169.61
2020-07-16,169.61,169.61,167.19,167.6
2020-07-17,167.6,170.7,167.45,169.95
2020-07-20,169.95,170.93,167.75,168.24
2020-07-21,168.24,170.04,167.84,168.26
2020-07-22,168.26,170.35,167.05,170.35
2020-07-23,170.35,170.97,167.67,169.52
2020-07-24,169.52,170.17,168.48,168.84
2020-07-27,168.84,170.88,167.19,170.73
2020-07-28,170.73,175.03,170.56,174.23
2020-07-29,174.23,177.53,174.23,177.53
2020-07-30,177.53,177.53,173.81,176.05
2020-07-31,176.05,176.07,173.39,175.77
2020-08-03,175.77,175.77,172.58,173.19
2020-08-04,173.19,176.18,172.95,175.54
2020-08-05,175.54,176.63,173.84,174.42
2020-08-06,174.42,174.93,173.43,174.59
2020-08-07,174.59,177.12,173.91,176.95
2020-08-10,176.95,177.84,176,176.66
2020-08-11,176.66,178.27,172.77,173.36
2020-08-12,173.36,175.93,173.36,175.65
2020-08-13,175.65,176.25,173.24,173.5
2020-08-14,173.5,175.15,173.22,173.74
2020-08-17,173.74,175.3,173.26,175.28
2020-08-18,175.28,175.66,173.96,175.02
2020-08-19,175.02,175.44,171.25,171.49
2020-08-20,171.49,174.11,170.44,173.34
2020-08-21,173.34,174.37,171.72,173.77
2020-08-24,173.77,174.2,171.66,174.19
2020-08-25,174.19,174.77,173.18,174.72
2020-08-26,174.72,174.72,172.28,173.42
2020-08-27,173.42,176.25,173.42,175.8
2020-08-28,175.8,177.08,174.42,177.07
2020-08-31,177.07,177.07,174.99,175.58
2020-09-01,175.58,175.58,173.77,175.31
2020-09-02,175.31,179.39,174.09,179.23
2020-09-03,179.23,180.08,174.94,176.29
2020-09-04,176.29,177.76,172.56,175.47
2020-09-08,175.47,175.47,172.07,173.22
2020-09-09,173.22,177.48,173.22,175.35
2020-09-10,175.35,175.52,172.71,172.77
2020-09-11,172.77,173.42,170.93,172.29
2020-09-14,172.29,176.52,172.29,176.02
2020-09-15,176.02,179.98,176.02,178.46
2020-09-16,178.46,181.25,178.46,179.42
2020-09-17,179.42,179.42,174.33,175.5
2020-09-18,175.5,175.5,171.69,172.06
2020-09-21,172.06,172.06,166.51,167.36
